Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
Cosma(Optimal),12288,12288,12288,2,host,,,,,1.0,0.421082,,,0.33413544444444443,11105.834471333334,3.0,,,,10.845541475911459,"Square
( M = N = K )"
Cosma(Optimal),12288,12288,12288,4,host,,,,,1.0,0.7403263333333334,,,0.21088907407407406,17597.09524288889,3.0,,,,17.18466332313368,"Square
( M = N = K )"
Cosma(Optimal),12288,12288,12288,8,host,,,,,2.0,0.75983,,,0.18377300000000002,20284.423901000002,3.0,,,,19.809007715820314,"Square
( M = N = K )"
Cosma(Optimal),12288,12288,12288,16,host,,,,,4.0,0.754887,,,0.1351001111111111,28037.730704777776,3.0,,,,27.380596391384547,"Square
( M = N = K )"
Cosma(Optimal),13312,13312,13312,2,host,,,,,1.0,0.391662,,,0.42031022222222225,11225.801175555556,3.0,,,,10.962696460503473,"Square
( M = N = K )"
Cosma(Optimal),13312,13312,13312,4,host,,,,,1.0,0.740202,,,0.2658621851851852,17749.20240074074,3.0,,,,17.33320546947338,"Square
( M = N = K )"
Cosma(Optimal),13312,13312,13312,8,host,,,,,2.0,0.786204,,,0.2301133333333333,20722.749318111113,3.0,,,,20.237059880967884,"Square
( M = N = K )"
Cosma(Optimal),13312,13312,13312,16,host,,,,,4.0,0.756365,,,0.175864,27845.693204111114,3.0,,,,27.19305976963976,"Square
( M = N = K )"
Cosma(Optimal),14336,14336,14336,2,host,,,,,1.0,0.418056,,,0.4900784444444445,12025.196043666667,3.0,,,,11.74335551139323,"Square
( M = N = K )"
Cosma(Optimal),14336,14336,14336,4,host,,,,,1.0,0.7369843333333334,,,0.31602362962962965,18699.014257592593,3.0,,,,18.260756110930267,"Square
( M = N = K )"
Cosma(Optimal),14336,14336,14336,8,host,,,,,2.0,0.735939,,,0.27726544444444445,21416.048729888887,3.0,,,,20.914110087782117,"Square
( M = N = K )"
Cosma(Optimal),14336,14336,14336,16,host,,,,,4.0,0.74998,,,0.18715966666666667,32151.283352444447,3.0,,,,31.39773764887153,"Square
( M = N = K )"
Cosma(Optimal),15360,15360,15360,2,host,,,,,1.0,0.438775,,,0.5559243333333334,13037.322536333333,3.0,,,,12.73176028938802,"Square
( M = N = K )"
Cosma(Optimal),15360,15360,15360,4,host,,,,,1.0,0.7618216666666667,,,0.3517621111111111,20614.062981444444,3.0,,,,20.13092088031684,"Square
( M = N = K )"
Cosma(Optimal),15360,15360,15360,8,host,,,,,2.0,0.747573,,,0.3183441111111111,22982.740282777777,3.0,,,,22.444082307400173,"Square
( M = N = K )"
Cosma(Optimal),15360,15360,15360,16,host,,,,,4.0,0.752454,,,0.22121544444444444,33331.43413711111,3.0,,,,32.550228649522566,"Square
( M = N = K )"
