Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,DataLocation
cuBLASMp,24576,24576,24576,2048,2048,4,4,4,16,0.000001,0.086579,0.000000,1.340414,22147.502512,devices
cuBLASMp,24576,24576,24576,2048,2048,4,4,4,16,0.000001,0.086579,0.000000,1.253711,23679.159820,devices
cuBLASMp,24576,24576,24576,2048,2048,4,4,4,16,0.000001,0.086579,0.000000,1.082456,27425.414687,devices
cuBLASMp,24576,24576,24576,2048,2048,4,4,4,16,0.000001,0.086579,0.000000,1.300036,22835.384409,devices
cuBLASMp,24576,24576,24576,2048,2048,4,4,4,16,0.000001,0.086579,0.000000,1.374574,21597.102027,devices
cuBLASMp,28672,28672,28672,2048,2048,4,4,4,16,0.000001,0.148884,0.000000,1.655895,28468.939374,devices
cuBLASMp,28672,28672,28672,2048,2048,4,4,4,16,0.000001,0.148884,0.000000,1.848988,25495.868233,devices
cuBLASMp,28672,28672,28672,2048,2048,4,4,4,16,0.000001,0.148884,0.000000,1.624531,29018.574313,devices
cuBLASMp,28672,28672,28672,2048,2048,4,4,4,16,0.000001,0.148884,0.000000,1.366177,34506.200363,devices
cuBLASMp,28672,28672,28672,2048,2048,4,4,4,16,0.000001,0.148884,0.000000,1.405437,33542.290811,devices
cuBLASMp,28672,28672,28672,2048,2048,4,4,4,16,0.000001,0.148884,0.000000,1.790110,26334.445610,devices
cuBLASMp,28672,28672,28672,2048,2048,4,4,4,16,0.000001,0.148884,0.000000,1.853201,25437.916082,devices
cuBLASMp,28672,28672,28672,2048,2048,4,4,4,16,0.000001,0.148884,0.000000,1.561343,30192.947625,devices
cuBLASMp,28672,28672,28672,2048,2048,4,4,4,16,0.000001,0.148884,0.000000,1.630572,28911.066287,devices
cuBLASMp,28672,28672,28672,2048,2048,4,4,4,16,0.000001,0.148884,0.000000,1.854992,25413.350025,devices
cuBLASMp,32768,32768,32768,2048,2048,4,4,4,16,0.000001,0.148115,0.000000,2.222176,31666.591949,devices
cuBLASMp,32768,32768,32768,2048,2048,4,4,4,16,0.000001,0.148115,0.000000,1.791248,39284.752308,devices
cuBLASMp,32768,32768,32768,2048,2048,4,4,4,16,0.000001,0.148115,0.000000,2.032380,34623.815766,devices
cuBLASMp,32768,32768,32768,2048,2048,4,4,4,16,0.000001,0.148115,0.000000,2.232446,31520.921357,devices
cuBLASMp,32768,32768,32768,2048,2048,4,4,4,16,0.000001,0.148115,0.000000,1.873989,37550.248114,devices
cuBLASMp,32768,32768,32768,2048,2048,4,4,4,16,0.000001,0.148115,0.000000,2.565727,27426.432611,devices
cuBLASMp,32768,32768,32768,2048,2048,4,4,4,16,0.000001,0.148115,0.000000,2.054663,34248.309503,devices
cuBLASMp,32768,32768,32768,2048,2048,4,4,4,16,0.000001,0.148115,0.000000,2.101259,33488.856087,devices
cuBLASMp,32768,32768,32768,2048,2048,4,4,4,16,0.000001,0.148115,0.000000,2.290473,30722.369184,devices
cuBLASMp,32768,32768,32768,2048,2048,4,4,4,16,0.000001,0.148115,0.000000,2.003038,35131.001195,devices
cuBLASMp,40960,40960,40960,2048,2048,4,4,4,16,0.000001,0.240439,0.000000,3.215716,42739.767650,devices
cuBLASMp,40960,40960,40960,2048,2048,4,4,4,16,0.000001,0.240439,0.000000,3.051813,45035.178264,devices
cuBLASMp,40960,40960,40960,2048,2048,4,4,4,16,0.000001,0.240439,0.000000,3.026167,45416.843596,devices
cuBLASMp,40960,40960,40960,2048,2048,4,4,4,16,0.000001,0.240439,0.000000,3.146612,43678.394642,devices
cuBLASMp,40960,40960,40960,2048,2048,4,4,4,16,0.000001,0.240439,0.000000,3.406841,40342.045760,devices
cuBLASMp,40960,40960,40960,2048,2048,4,4,4,16,0.000001,0.240439,0.000000,3.125558,43972.619664,devices
cuBLASMp,40960,40960,40960,2048,2048,4,4,4,16,0.000001,0.240439,0.000526,3.059221,44926.124390,devices
cuBLASMp,40960,40960,40960,2048,2048,4,4,4,16,0.000001,0.240439,0.000000,3.021453,45487.704900,devices
cuBLASMp,40960,40960,40960,2048,2048,4,4,4,16,0.000001,0.240439,0.000000,2.874472,47813.629819,devices
cuBLASMp,40960,40960,40960,2048,2048,4,4,4,16,0.000001,0.240439,0.000000,3.117659,44084.017608,devices
cuBLASMp,45056,45056,45056,2048,2048,4,4,4,16,0.000001,0.333495,0.000000,4.205825,43494.736846,devices
cuBLASMp,45056,45056,45056,2048,2048,4,4,4,16,0.000001,0.333495,0.000000,4.684245,39052.452023,devices
cuBLASMp,45056,45056,45056,2048,2048,4,4,4,16,0.000001,0.333495,0.000000,4.336988,42179.326767,devices
cuBLASMp,45056,45056,45056,2048,2048,4,4,4,16,0.000001,0.333495,0.000000,4.285629,42684.804727,devices
cuBLASMp,45056,45056,45056,2048,2048,4,4,4,16,0.000001,0.333495,0.000000,4.434908,41248.035052,devices
cuBLASMp,45056,45056,45056,2048,2048,4,4,4,16,0.000001,0.333495,0.000000,4.111982,44487.366067,devices
cuBLASMp,45056,45056,45056,2048,2048,4,4,4,16,0.000001,0.333495,0.000000,4.151592,44062.918818,devices
cuBLASMp,45056,45056,45056,2048,2048,4,4,4,16,0.000001,0.333495,0.000000,4.178336,43780.887618,devices
cuBLASMp,45056,45056,45056,2048,2048,4,4,4,16,0.000001,0.333495,0.000000,4.262041,42921.042684,devices
cuBLASMp,45056,45056,45056,2048,2048,4,4,4,16,0.000001,0.333495,0.000000,4.387064,41697.875378,devices
cuBLASMp,49152,49152,49152,2048,2048,4,4,4,16,0.000001,0.336414,0.000000,4.109612,57790.005223,devices
cuBLASMp,49152,49152,49152,2048,2048,4,4,4,16,0.000001,0.336414,0.000000,4.343760,54674.875522,devices
cuBLASMp,49152,49152,49152,2048,2048,4,4,4,16,0.000001,0.336414,0.000000,4.078205,58235.061288,devices
cuBLASMp,49152,49152,49152,2048,2048,4,4,4,16,0.000001,0.336414,0.000000,4.443041,53453.148523,devices
cuBLASMp,49152,49152,49152,2048,2048,4,4,4,16,0.000001,0.336414,0.000000,4.407542,53883.659012,devices
cuBLASMp,49152,49152,49152,2048,2048,4,4,4,16,0.000001,0.336414,0.000000,4.586305,51783.410106,devices
cuBLASMp,49152,49152,49152,2048,2048,4,4,4,16,0.000001,0.336414,0.000000,4.629492,51300.341180,devices
cuBLASMp,49152,49152,49152,2048,2048,4,4,4,16,0.000001,0.336414,0.000000,4.553881,52152.111191,devices
cuBLASMp,49152,49152,49152,2048,2048,4,4,4,16,0.000001,0.336414,0.000000,4.194989,56613.856957,devices
cuBLASMp,49152,49152,49152,2048,2048,4,4,4,16,0.000001,0.336414,0.000000,4.344551,54664.917336,devices
cuBLASMp,53248,53248,53248,2048,2048,4,4,4,16,0.000001,0.458603,0.000000,5.603203,53889.423136,devices
cuBLASMp,53248,53248,53248,2048,2048,4,4,4,16,0.000001,0.458603,0.000000,5.814042,51935.190127,devices
cuBLASMp,53248,53248,53248,2048,2048,4,4,4,16,0.000001,0.458603,0.000000,6.271520,48146.763529,devices
cuBLASMp,53248,53248,53248,2048,2048,4,4,4,16,0.000001,0.458603,0.000000,5.677368,53185.448482,devices
cuBLASMp,53248,53248,53248,2048,2048,4,4,4,16,0.000001,0.458603,0.000000,5.534029,54563.023972,devices
cuBLASMp,53248,53248,53248,2048,2048,4,4,4,16,0.000001,0.458603,0.000000,5.516445,54736.955450,devices
cuBLASMp,53248,53248,53248,2048,2048,4,4,4,16,0.000001,0.458603,0.000000,5.782597,52217.605322,devices
cuBLASMp,53248,53248,53248,2048,2048,4,4,4,16,0.000001,0.458603,0.000000,6.070045,49744.837562,devices
cuBLASMp,53248,53248,53248,2048,2048,4,4,4,16,0.000001,0.458603,0.000000,5.720092,52788.202214,devices
cuBLASMp,53248,53248,53248,2048,2048,4,4,4,16,0.000001,0.458603,0.000000,5.899174,51185.702892,devices
cuBLASMp,4096,4096,4096,2048,2048,4,2,2,8,0.000001,0.023081,0.000000,0.039422,3486.335611,devices
cuBLASMp,4096,4096,4096,2048,2048,4,2,2,8,0.000001,0.023081,0.000000,0.048303,2845.375410,devices
cuBLASMp,4096,4096,4096,2048,2048,4,2,2,8,0.000001,0.023081,0.000000,0.041492,3312.458152,devices
cuBLASMp,4096,4096,4096,2048,2048,4,2,2,8,0.000001,0.023081,0.000000,0.039539,3475.996284,devices
cuBLASMp,4096,4096,4096,2048,2048,4,2,2,8,0.000001,0.023081,0.000000,0.039305,3496.706293,devices
cuBLASMp,4096,4096,4096,2048,2048,4,2,2,8,0.000001,0.023081,0.000000,0.052914,2597.395533,devices
cuBLASMp,4096,4096,4096,2048,2048,4,2,2,8,0.000001,0.023081,0.000000,0.041048,3348.243332,devices
cuBLASMp,4096,4096,4096,2048,2048,4,2,2,8,0.000001,0.023081,0.000000,0.047910,2868.672841,devices
cuBLASMp,4096,4096,4096,2048,2048,4,2,2,8,0.000001,0.023081,0.000000,0.040055,3431.249521,devices
cuBLASMp,4096,4096,4096,2048,2048,4,2,2,8,0.000001,0.023081,0.000000,0.052896,2598.301553,devices
cuBLASMp,5120,5120,5120,2048,2048,4,2,2,8,0.000001,0.021372,0.000000,0.136680,1963.964662,devices
cuBLASMp,5120,5120,5120,2048,2048,4,2,2,8,0.000001,0.021372,0.000000,0.058386,4597.605998,devices
