Algo,M,N,K,TotalGPUs,ExecutionTime,GFlops,ALoc,BLoc,CLoc
PARALiA,5120,5120,5120,4,0.005701,47085.141638,0,1,2
PARALiA,5120,5120,5120,4,0.005712,46996.698537,0,1,2
PARALiA,5120,5120,5120,4,0.005678,47276.922395,0,1,2
PARALiA,5120,5120,5120,4,0.005691,47167.989394,0,1,2
PARALiA,5120,5120,5120,4,0.005689,47185.780430,0,1,2
PARALiA,5120,5120,5120,4,0.005689,47185.780430,0,1,2
PARALiA,5120,5120,5120,4,0.005685,47219.422364,0,1,2
PARALiA,5120,5120,5120,4,0.005701,47085.141638,0,1,2
PARALiA,5120,5120,5120,4,0.005657,47452.265640,0,1,2
PARALiA,5120,5120,5120,4,0.005662,47410.304314,0,1,2
PARALiA,5120,5120,5120,4,0.005655,47470.271812,0,1,2
PARALiA,5120,5120,5120,4,0.005646,47544.440980,0,1,2
PARALiA,5120,5120,5120,4,0.005651,47502.316549,0,1,2
PARALiA,5120,5120,5120,4,0.005643,47570.555469,0,1,2
PARALiA,5120,5120,5120,4,0.005648,47528.384771,0,1,2
PARALiA,5120,5120,5120,4,0.005479,48992.642045,0,1,2
PARALiA,5120,5120,5120,4,0.005313,50525.036207,0,1,2
PARALiA,6144,6144,6144,4,0.013618,34062.030166,0,1,2
PARALiA,6144,6144,6144,4,0.013592,34127.156046,0,1,2
PARALiA,6144,6144,6144,4,0.013603,34099.641382,0,1,2
PARALiA,6144,6144,6144,4,0.013582,34152.316938,0,1,2
PARALiA,6144,6144,6144,4,0.013545,34245.494597,0,1,2
PARALiA,6144,6144,6144,4,0.013676,33917.732240,0,1,2
PARALiA,6144,6144,6144,4,0.013600,34107.412766,0,1,2
PARALiA,6144,6144,6144,4,0.013651,33979.339452,0,1,2
PARALiA,6144,6144,6144,4,0.013716,33818.683430,0,1,2
PARALiA,6144,6144,6144,4,0.013614,34071.574359,0,1,2
PARALiA,6144,6144,6144,4,0.013659,33959.766783,0,1,2
PARALiA,6144,6144,6144,4,0.013509,34336.757894,0,1,2
PARALiA,6144,6144,6144,4,0.013628,34037.002082,0,1,2
PARALiA,6144,6144,6144,4,0.013538,34263.587739,0,1,2
PARALiA,6144,6144,6144,4,0.013388,34647.392642,0,1,2
PARALiA,6144,6144,6144,4,0.013350,34745.777030,0,1,2
PARALiA,6144,6144,6144,4,0.013290,34902.856715,0,1,2
PARALiA,6144,6144,6144,4,0.013436,34523.201828,0,1,2
PARALiA,6144,6144,6144,4,0.013486,34395.032954,0,1,2
PARALiA,6144,6144,6144,4,0.013368,34698.680917,0,1,2
PARALiA,6144,6144,6144,4,0.013398,34621.497269,0,1,2
PARALiA,6144,6144,6144,4,0.013382,34662.824954,0,1,2
PARALiA,6144,6144,6144,4,0.013492,34380.445652,0,1,2
PARALiA,6144,6144,6144,4,0.013475,34423.635639,0,1,2
PARALiA,6144,6144,6144,4,0.013387,34649.860888,0,1,2
PARALiA,6144,6144,6144,4,0.012886,35996.799864,0,1,2
PARALiA,6144,6144,6144,4,0.012918,35907.774520,0,1,2
PARALiA,6144,6144,6144,4,0.012954,35807.981135,0,1,2
PARALiA,6144,6144,6144,4,0.012906,35941.605347,0,1,2
PARALiA,6144,6144,6144,4,0.012953,35810.617516,0,1,2
PARALiA,6144,6144,6144,4,0.012946,35830.402752,0,1,2
PARALiA,6144,6144,6144,4,0.012890,35986.146771,0,1,2
PARALiA,6144,6144,6144,4,0.013049,35546.938519,0,1,2
PARALiA,6144,6144,6144,4,0.012904,35946.253770,0,1,2
PARALiA,6144,6144,6144,4,0.012762,36347.171316,0,1,2
PARALiA,6144,6144,6144,4,0.012856,36080.913895,0,1,2
PARALiA,6144,6144,6144,4,0.012828,36160.044588,0,1,2
PARALiA,6144,6144,6144,4,0.012924,35890.551930,0,1,2
PARALiA,6144,6144,6144,4,0.012818,36187.620464,0,1,2
PARALiA,6144,6144,6144,4,0.012874,36030.798730,0,1,2
PARALiA,6144,6144,6144,4,0.012985,35722.509576,0,1,2
PARALiA,6144,6144,6144,4,0.012952,35813.913538,0,1,2
PARALiA,6144,6144,6144,4,0.012947,35827.103694,0,1,2
PARALiA,6144,6144,6144,4,0.012923,35893.862683,0,1,2
PARALiA,6144,6144,6144,4,0.013013,35645.280208,0,1,2
PARALiA,6144,6144,6144,4,0.013062,35511.901563,0,1,2
PARALiA,6144,6144,6144,4,0.012833,36145.936628,0,1,2
PARALiA,6144,6144,6144,4,0.013018,35632.223568,0,1,2
PARALiA,6144,6144,6144,4,0.012889,35988.143745,0,1,2
PARALiA,7168,7168,7168,4,0.017253,42693.457304,0,1,2
PARALiA,7168,7168,7168,4,0.017121,43022.229803,0,1,2
PARALiA,7168,7168,7168,4,0.017046,43211.778902,0,1,2
PARALiA,7168,7168,7168,4,0.017122,43019.833522,0,1,2
PARALiA,7168,7168,7168,4,0.016979,43382.283850,0,1,2
PARALiA,7168,7168,7168,4,0.017081,43123.717154,0,1,2
PARALiA,7168,7168,7168,4,0.017077,43133.350241,0,1,2
PARALiA,7168,7168,7168,4,0.017102,43070.211546,0,1,2
PARALiA,7168,7168,7168,4,0.016998,43333.604662,0,1,2
PARALiA,7168,7168,7168,4,0.017033,43245.046183,0,1,2
PARALiA,7168,7168,7168,4,0.017108,43055.205758,0,1,2
PARALiA,7168,7168,7168,4,0.017031,43249.283876,0,1,2
PARALiA,7168,7168,7168,4,0.016908,43563.966051,0,1,2
PARALiA,7168,7168,7168,4,0.017000,43328.135089,0,1,2
PARALiA,7168,7168,7168,4,0.017145,42962.402753,0,1,2
PARALiA,7168,7168,7168,4,0.017058,43181.580303,0,1,2
PARALiA,7168,7168,7168,4,0.017072,43146.000201,0,1,2
PARALiA,7168,7168,7168,4,0.015678,46982.410420,0,1,2
PARALiA,7168,7168,7168,4,0.015684,46964.555347,0,1,2
PARALiA,7168,7168,7168,4,0.015732,46820.782668,0,1,2
PARALiA,7168,7168,7168,4,0.015611,47184.039348,0,1,2
PARALiA,7168,7168,7168,4,0.015658,47041.786743,0,1,2
PARALiA,7168,7168,7168,4,0.015651,47063.285008,0,1,2
PARALiA,7168,7168,7168,4,0.015577,47286.589797,0,1,2
PARALiA,7168,7168,7168,4,0.015762,46731.547615,0,1,2
PARALiA,7168,7168,7168,4,0.015708,46892.558806,0,1,2
PARALiA,7168,7168,7168,4,0.015696,46928.885884,0,1,2
PARALiA,7168,7168,7168,4,0.015634,47114.242602,0,1,2
PARALiA,7168,7168,7168,4,0.015689,46949.567570,0,1,2
PARALiA,7168,7168,7168,4,0.015615,47171.791987,0,1,2
PARALiA,7168,7168,7168,4,0.015693,46937.441612,0,1,2
PARALiA,7168,7168,7168,4,0.015596,47228.760137,0,1,2
PARALiA,7168,7168,7168,4,0.015575,47292.380553,0,1,2
PARALiA,7168,7168,7168,4,0.015675,46990.985678,0,1,2
PARALiA,7168,7168,7168,4,0.015581,47275.012538,0,1,2
PARALiA,7168,7168,7168,4,0.015509,47493.763941,0,1,2
PARALiA,7168,7168,7168,4,0.015724,46844.210098,0,1,2
PARALiA,7168,7168,7168,4,0.015578,47283.694951,0,1,2
PARALiA,7168,7168,7168,4,0.015559,47341.659302,0,1,2
PARALiA,7168,7168,7168,4,0.015670,47005.999914,0,1,2
PARALiA,7168,7168,7168,4,0.015718,46861.973765,0,1,2
PARALiA,7168,7168,7168,4,0.015696,46928.173047,0,1,2
PARALiA,7168,7168,7168,4,0.015700,46916.770606,0,1,2
PARALiA,7168,7168,7168,4,0.015630,47126.460094,0,1,2
PARALiA,7168,7168,7168,4,0.015546,47380.865645,0,1,2
PARALiA,7168,7168,7168,4,0.015596,47228.760137,0,1,2
PARALiA,7168,7168,7168,4,0.015561,47335.856472,0,1,2
PARALiA,7168,7168,7168,4,0.015645,47081.215245,0,1,2
PARALiA,7168,7168,7168,4,0.015660,47036.057189,0,1,2
PARALiA,8192,8192,8192,4,0.020446,53776.832157,0,1,2
