Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,ExecutionTime,GatherTime,GFlops,DataLocation
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.071774,0.071020,0.036119,1935.220091,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.071774,0.068461,0.036645,2007.543118,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.071774,0.068367,0.036317,2010.304843,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.071774,0.062693,0.036385,2192.237212,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.071774,0.068041,0.036304,2019.934327,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.071774,0.069956,0.036423,1964.644920,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.071774,0.069226,0.036374,1985.356777,devices
SLATE,4096,4096,4096,1024,1024,2,2,1,4,0.071774,0.069337,0.036714,1982.174478,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.183151,0.306052,0.083510,877.091242,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.183151,0.113813,0.055107,2358.570624,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.183151,0.119102,0.055317,2253.830931,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.183151,0.110397,0.055529,2431.556346,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.183151,0.109216,0.055528,2457.850308,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.183151,0.107049,0.055648,2507.584849,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.183151,0.106868,0.055489,2511.845060,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.183151,0.108064,0.055512,2484.044307,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.183151,0.109517,0.055413,2451.081573,devices
SLATE,5120,5120,5120,1024,1024,2,2,1,4,0.183151,0.108102,0.055418,2483.160756,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.033917,0.244999,0.119026,1893.301536,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.033917,0.154035,0.082569,3011.364739,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.033917,0.157960,0.081840,2936.545123,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.033917,0.150053,0.082114,3091.288196,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.033917,0.145675,0.082194,3184.193938,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.033917,0.145146,0.082389,3195.795837,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.033917,0.137129,0.082081,3382.629198,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.033917,0.143328,0.082323,3236.333125,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.033917,0.142906,0.082441,3245.885524,devices
SLATE,6144,6144,6144,1024,1024,2,2,1,4,0.033917,0.139001,0.082298,3337.073508,devices
SLATE,7168,7168,7168,1024,1024,2,2,1,4,0.068716,0.409291,0.160140,1799.664196,devices
SLATE,7168,7168,7168,1024,1024,2,2,1,4,0.068716,0.221605,0.110035,3323.866109,devices
SLATE,7168,7168,7168,1024,1024,2,2,1,4,0.068716,0.214652,0.109964,3431.536586,devices
SLATE,7168,7168,7168,1024,1024,2,2,1,4,0.068716,0.211438,0.110766,3483.704250,devices
SLATE,7168,7168,7168,1024,1024,2,2,1,4,0.068716,0.211724,0.109659,3478.994757,devices
