Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
Cosma(Optimal),24576,24576,3072,8,host,,,,,2.0,0.750189,,,0.1309828888888889,28335.99658833333,3.0,,,,27.67187166829427,"Fat-thin
( M = N >> K )"
Cosma(Optimal),24576,24576,3072,16,host,,,,,4.0,0.756281,,,0.08925222222222223,41595.31581966667,3.0,,,,40.62042560514323,"Fat-thin
( M = N >> K )"
Cosma(Optimal),24576,24576,6144,2,host,,,,,1.0,0.415917,,,0.6454493333333333,11498.601633555554,3.0,,,,11.229103157769096,"Fat-thin
( M = N >> K )"
Cosma(Optimal),24576,24576,6144,4,host,,,,,1.0,0.727621,,,0.3268162222222222,22709.14989088889,3.0,,,,22.17690419032118,"Fat-thin
( M = N >> K )"
Cosma(Optimal),24576,24576,6144,8,host,,,,,2.0,0.750713,,,0.24137299999999998,31127.660894222223,3.0,,,,30.39810634201389,"Fat-thin
( M = N >> K )"
Cosma(Optimal),24576,24576,6144,16,host,,,,,4.0,0.730442,,,0.21739822222222221,35232.628549,3.0,,,,34.40686381738281,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,1792,2,host,,,,,1.0,0.418447,,,0.43912555555555555,6709.845308333333,3.0,,,,6.552583308919271,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,1792,4,host,,,,,1.0,0.742736,,,0.1984108888888889,14849.739721,3.0,,,,14.501698946289062,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,1792,8,host,,,,,2.0,0.745662,,,0.11403755555555556,25959.19603977778,3.0,,,,25.35077738259549,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,1792,16,host,,,,,4.0,0.766044,,,0.0770851111111111,38222.229687,3.0,,,,37.32639617871094,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,3584,2,host,,,,,1.0,0.427054,,,0.6186185555555556,9526.439040000001,3.0,,,,9.303163125000001,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,3584,4,host,,,,,1.0,0.760405,,,0.30286633333333335,19456.542725666666,3.0,,,,19.000530005533854,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,3584,8,host,,,,,2.0,0.764585,,,0.19266033333333332,30616.460088,3.0,,,,29.8988868046875,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,3584,16,host,,,,,4.0,0.80183,,,0.1653471111111111,36106.15655511111,3.0,,,,35.259918510850696,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,7168,2,host,,,,,1.0,0.418389,,,0.9705235555555556,12143.382340444445,3.0,,,,11.858771816840278,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,7168,4,host,,,,,1.0,0.732306,,,0.5041993333333333,23374.64999488889,3.0,,,,22.82680663563368,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,7168,8,host,,,,,2.0,0.748136,,,0.35646100000000003,33226.83328677778,3.0,,,,32.448079381618925,"Fat-thin
( M = N >> K )"
Cosma(Optimal),28672,28672,7168,16,host,,,,,4.0,0.735452,,,0.34653855555555557,34707.39123855556,3.0,,,,33.893936756401914,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,2048,2,host,,,,,1.0,0.411475,,,0.5958831111111111,7380.79753911111,3.0,,,,7.207810096788194,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,2048,4,host,,,,,1.0,0.763039,,,0.26903177777777776,16347.801904555556,3.0,,,,15.964650297417535,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,2048,8,host,,,,,2.0,0.743835,,,0.1598511111111111,27528.077259888887,3.0,,,,26.88288794911024,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,2048,16,host,,,,,4.0,0.731859,,,0.09887522222222223,44494.475037222226,3.0,,,,43.45163577853733,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,4096,2,host,,,,,1.0,0.413016,,,0.8479511111111111,10373.415957333333,3.0,,,,10.130289020833333,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,4096,4,host,,,,,1.0,0.735624,,,0.4110945555555556,21396.808040666667,3.0,,,,20.895320352213542,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,4096,8,host,,,,,2.0,0.762253,,,0.2548581111111111,34532.319446444446,3.0,,,,33.722968209418404,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,4096,16,host,,,,,4.0,0.85519,,,0.22135155555555555,40242.29330777778,3.0,,,,39.299114558376736,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,8192,2,host,,,,,1.0,0.418558,,,1.3384462222222222,13143.755480777778,3.0,,,,12.835698711697049,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,8192,4,host,,,,,1.0,0.750518,,,0.683432888888889,25741.20823177778,3.0,,,,25.137898663845487,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,8192,8,host,,,,,2.0,0.7623,,,0.4848297777777778,36534.95250077778,3.0,,,,35.6786645515408,"Fat-thin
( M = N >> K )"
Cosma(Optimal),32768,32768,8192,16,host,,,,,4.0,0.736549,,,0.4543618888888889,38900.10794955555,3.0,,,,37.988386669487845,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,2304,2,host,,,,,1.0,0.410494,,,0.7441352222222223,8415.328779333333,3.0,,,,8.218094511067708,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,2304,4,host,,,,,1.0,0.736177,,,0.32067077777777775,19528.168851666665,3.0,,,,19.070477394205728,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,2304,8,host,,,,,2.0,0.795879,,,0.19964866666666667,31650.60152422222,3.0,,,,30.908790550998262,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,2304,16,host,,,,,4.0,0.770098,,,0.13034766666666667,48745.87122655556,3.0,,,,47.60338986968316,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,4608,2,host,,,,,1.0,0.42737,,,1.0561662222222223,11858.144589666666,3.0,,,,11.580219325846354,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,4608,4,host,,,,,1.0,0.748763,,,0.49190011111111115,25460.805349222224,3.0,,,,24.86406772384983,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,4608,8,host,,,,,2.0,0.755876,,,0.33273355555555556,37750.051587444446,3.0,,,,36.86528475336372,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,4608,16,host,,,,,4.0,0.736413,,,0.2944116666666667,42967.65396433333,3.0,,,,41.96059957454427,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,9216,2,host,,,,,1.0,0.41516,,,1.6644269999999999,15049.190846333331,3.0,,,,14.696475435872394,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,9216,4,host,,,,,1.0,0.744186,,,0.8214825555555555,30492.461944777777,3.0,,,,29.777794867947048,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,9216,8,host,,,,,2.0,0.752802,,,0.5712483333333334,43888.66942022222,3.0,,,,42.86002873068576,"Fat-thin
( M = N >> K )"
Cosma(Optimal),36864,36864,9216,16,host,,,,,4.0,0.782332,,,0.5464717777777778,45980.77057844444,3.0,,,,44.90309626801215,"Fat-thin
( M = N >> K )"
Cosma(Optimal),40960,40960,2560,2,host,,,,,1.0,0.415341,,,1.0083287777777779,8518.988934222223,3.0,,,,8.31932513107639,"Fat-thin
( M = N >> K )"
Cosma(Optimal),40960,40960,2560,4,host,,,,,1.0,0.745721,,,0.4342836666666667,19779.705301777776,3.0,,,,19.31611845876736,"Fat-thin
( M = N >> K )"
